id,surname,name,username,visibility_type,grp,level,password,preferences,output,lang
101,oper,ORG0001,ORG0001,group,ORG0001,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
102,oper,ORG0002,ORG0002,group,ORG0002,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
103,oper,ORG0003,ORG0003,group,ORG0003,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
104,oper,ORG0004,ORG0004,group,ORG0004,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
105,oper,ORG0005,ORG0005,group,ORG0005,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
106,oper,ORG0006,ORG0006,group,ORG0006,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
107,oper,ORG0007,ORG0007,group,ORG0007,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
108,oper,ORG0008,ORG0008,group,ORG0008,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
109,oper,ORG0009,ORG0009,group,ORG0009,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
110,oper,ORG0010,ORG0010,group,ORG0010,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
111,oper,ORG0011,ORG0011,group,ORG0011,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
112,oper,ORG0012,ORG0012,group,ORG0012,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
113,oper,ORG0013,ORG0013,group,ORG0013,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
114,oper,ORG0014,ORG0014,group,ORG0014,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
115,oper,ORG0015,ORG0015,group,ORG0015,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
116,oper,ORG0016,ORG0016,group,ORG0016,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
117,oper,ORG0017,ORG0017,group,ORG0017,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
118,oper,ORG0018,ORG0018,group,ORG0018,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
119,oper,ORG0019,ORG0019,group,ORG0019,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
120,oper,ORG0020,ORG0020,group,ORG0020,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
121,oper,ORG0021,ORG0021,group,ORG0021,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
122,oper,ORG0022,ORG0022,group,ORG0022,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
123,oper,ORG0023,ORG0023,group,ORG0023,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
124,oper,ORG0024,ORG0024,group,ORG0024,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
125,oper,ORG0025,ORG0025,group,ORG0025,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
126,oper,ORG0026,ORG0026,group,ORG0026,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
127,oper,ORG0027,ORG0027,group,ORG0027,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
128,oper,ORG0028,ORG0028,group,ORG0028,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
129,oper,ORG0029,ORG0029,group,ORG0029,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
130,oper,ORG0030,ORG0030,group,ORG0030,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
131,oper,ORG0031,ORG0031,group,ORG0031,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
132,oper,ORG0032,ORG0032,group,ORG0032,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
133,oper,ORG0033,ORG0033,group,ORG0033,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
134,oper,ORG0034,ORG0034,group,ORG0034,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
135,oper,ORG0035,ORG0035,group,ORG0035,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
136,oper,ORG0036,ORG0036,group,ORG0036,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
137,oper,ORG0037,ORG0037,group,ORG0037,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
138,oper,ORG0038,ORG0038,group,ORG0038,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
139,oper,ORG0039,ORG0039,group,ORG0039,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
140,oper,ORG0040,ORG0040,group,ORG0040,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
141,oper,ORG0041,ORG0041,group,ORG0041,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
142,oper,ORG0042,ORG0042,group,ORG0042,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
143,oper,ORG0043,ORG0043,group,ORG0043,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
144,oper,ORG0044,ORG0044,group,ORG0044,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
145,oper,ORG0045,ORG0045,group,ORG0045,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
146,oper,ORG0046,ORG0046,group,ORG0046,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
147,oper,ORG0047,ORG0047,group,ORG0047,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
148,oper,ORG0048,ORG0048,group,ORG0048,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
149,oper,ORG0049,ORG0049,group,ORG0049,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
150,oper,ORG0050,ORG0050,group,ORG0050,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
151,oper,ORG0051,ORG0051,group,ORG0051,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
152,oper,ORG0052,ORG0052,group,ORG0052,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
153,oper,ORG0053,ORG0053,group,ORG0053,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
154,oper,ORG0054,ORG0054,group,ORG0054,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
155,oper,ORG0055,ORG0055,group,ORG0055,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
156,oper,ORG0056,ORG0056,group,ORG0056,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
157,oper,ORG0057,ORG0057,group,ORG0057,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
158,oper,ORG0058,ORG0058,group,ORG0058,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
159,oper,ORG0059,ORG0059,group,ORG0059,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
160,oper,ORG0060,ORG0060,group,ORG0060,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
161,oper,ORG0061,ORG0061,group,ORG0061,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
162,oper,ORG0062,ORG0062,group,ORG0062,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
163,oper,ORG0063,ORG0063,group,ORG0063,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,automatic,it
